"Tiempo","Corriente","Tiempo1","Voltaje","","",""
"0","0","0","0.00000","","",""
"0","0.0192849","0","2.61578","","",""
"0","0.0192787","0","2.61506","","",""
"0","0.0192784","0","2.61620","","",""
"0","0.0193026","0","2.61723","","",""
"0","0.0193372","0","2.61591","","",""
"1","0.0193406","1","2.61807","","",""
"1","0.0187568","1","2.61675","","",""
"1","0.0163802","1","2.60329","","",""
"1","0.0133134","1","2.40345","","",""
"1","0.0122504","1","1.94555","","",""
"1","0.0122997","1","1.83923","","",""
"1","0.0123230","1","1.84695","","",""
"1","0.0123530","1","1.87044","","",""
"1","0.0126481","1","1.95709","","",""
"2","0.0132920","2","2.07062","","",""
"2","0.0142458","2","2.17637","","",""
"2","0.0155521","2","2.38853","","",""
"2","0.0166888","2","2.61762","","",""
"2","0.0184725","2","2.74670","","",""
"2","0.0191866","2","2.96468","","",""
"2","0.0205538","2","3.49834","","",""
"2","0.0248766","2","3.79077","","",""
"2","0.0262118","2","3.98955","","",""
"2","0.0266409","2","4.84704","","",""
"2","0.0257752","2","5.38580","","",""
"3","0.0191559","3","5.84070","","",""
"3","0.0166938","3","6.73220","","",""
"3","0.0151409","3","7.37442","","",""
"3","0.0136411","3","7.36011","","",""
"3","0.0131670","3","6.00059","","",""
"3","0.0131541","3","4.78335","","",""
"3","0.0132774","3","4.21161","","",""
"3","0.0156073","3","3.89170","","",""
"3","0.0192714","3","3.68890","","",""
"4","0.0218083","4","3.51051","","",""
"4","0.0242354","4","3.37195","","",""
"4","0.0281265","4","3.34664","","",""
"4","0.0295269","4","2.98598","","",""
"4","0.0297888","4","2.92111","","",""
"4","0.0297121","4","2.92567","","",""
"4","0.0243689","4","2.92194","","",""
"4","0.0204163","4","2.97016","","",""
"4","0.0176324","4","3.42424","","",""
"4","0.0152984","4","3.69162","","",""
"4","0.0136021","4","3.88697","","",""
"5","0.0130682","5","4.33360","","",""
"5","0.0127360","5","4.81294","","",""
"5","0.0123693","5","5.14537","","",""
"5","0.0114288","5","6.37937","","",""
"5","0.0111930","5","7.74554","","",""
"5","0.0116253","5","8.13036","","",""
"5","0.0129230","5","8.22751","","",""
"5","0.0151269","5","9.18253","","",""
"5","0.0174440","5","9.58291","","",""
"6","0.0199018","6","7.54103","","",""
"6","0.0220621","6","6.47761","","",""
"6","0.0251604","6","5.49992","","",""
"6","0.0292567","6","4.87342","","",""
"6","0.0369888","6","4.41975","","",""
"6","0.0349243","6","4.18513","","",""
"6","0.0235841","6","3.87808","","",""
"6","0.0187170","6","3.67737","","",""
"6","0.0169835","6","3.60882","","",""
"6","0.0157517","6","3.34578","","",""
"6","0.0138851","6","3.14557","","",""
"7","0.0130970","7","3.14142","","",""
"7","0.0128268","7","3.17036","","",""
"7","0.0124297","7","3.49034","","",""
"7","0.0118649","7","4.47761","","",""
"7","0.0118994","7","5.07682","","",""
"7","0.0126532","7","4.76765","","",""
"7","0.0144244","7","3.83137","","",""
"7","0.0167340","7","3.44361","","",""
"7","0.0185873","7","3.18936","","",""
"8","0.0215378","8","3.16664","","",""
"8","0.0227523","8","3.39062","","",""
"8","0.0229366","8","4.13205","","",""
"8","0.0228440","8","4.89323","","",""
"8","0.0225094","8","4.99172","","",""
"8","0.0195746","8","4.96144","","",""
"8","0.0161885","8","4.60215","","",""
"8","0.0150681","8","3.81767","","",""
"8","0.0134855","8","3.64341","","",""
"8","0.0124500","8","3.43458","","",""
"8","0.0124524","8","3.23775","","",""
"9","0.0134379","9","3.29287","","",""
"9","0.0158417","9","3.51992","","",""
"9","0.0184030","9","4.02736","","",""
"9","0.0220619","9","4.55378","","",""
"9","0.0255810","9","4.70395","","",""
"9","0.0287143","9","4.71779","","",""
"9","0.0288943","9","4.65721","","",""
"9","0.0218261","9","3.84401","","",""
"9","0.0169227","9","3.27399","","",""
"10","0.0155522","10","3.20281","","",""
"10","0.0135511","10","3.21262","","",""
"10","0.0129039","10","3.24209","","",""
"10","0.0128272","10","3.40519","","",""
"10","0.0128834","10","3.57529","","",""
"10","0.0129194","10","3.64883","","",""
