T,Temp,Volt
"0,000","298,522","9830,050"
"0,500","298,515","9833,393"
"1,000","298,512","9834,673"
"1,500","298,509","9835,962"
"2,000","298,507","9836,907"
"2,500","298,506","9837,118"
"3,000","298,541","9821,628"
"3,500","298,876","9671,432"
"4,000","299,780","9279,620"
"4,500","300,693","8901,930"
"5,000","301,446","8603,975"
"5,500","302,076","8363,503"
"6,000","302,604","8167,553"
"6,500","303,061","8002,519"
"7,000","303,470","7857,916"
"7,500","303,836","7731,060"
"8,000","304,154","7622,690"
"8,500","304,441","7526,496"
"9,000","304,693","7443,234"
"9,500","304,917","7369,824"
"10,000","305,116","7305,467"
"10,500","305,296","7247,978"
"11,000","305,457","7196,791"
"11,500","305,601","7151,406"
"12,000","305,729","7111,305"
"12,500","305,845","7075,353"
"13,000","305,946","7043,990"
"13,500","306,031","7017,966"
"14,000","306,113","6992,598"
"14,500","306,186","6970,427"
"15,000","306,251","6950,609"
"15,500","306,309","6932,915"
"16,000","306,365","6916,158"
"16,500","306,412","6901,852"
"17,000","306,457","6888,355"
"17,500","306,499","6875,624"
"18,000","306,536","6864,753"
"18,500","306,567","6855,258"
"19,000","306,601","6845,274"
"19,500","306,632","6835,808"
"20,000","306,663","6826,764"
"20,500","306,692","6818,135"
"21,000","306,717","6810,567"
"21,500","306,742","6803,201"
"22,000","306,765","6796,332"
"22,500","306,788","6789,483"
"23,000","306,809","6783,422"
"23,500","306,826","6778,477"
"24,000","306,843","6773,302"
"24,500","306,858","6768,822"
"25,000","306,871","6765,110"
"25,500","306,882","6761,881"
"26,000","306,890","6759,647"
"26,500","306,895","6758,176"
"27,000","306,901","6756,361"
"27,500","306,906","6754,686"
"28,000","306,913","6752,711"
"28,500","306,922","6750,146"
"29,000","306,929","6747,948"
"29,500","306,940","6744,967"
"30,000","306,942","6744,388"
"30,500","306,942","6744,381"
"31,000","306,938","6745,344"
"31,500","306,933","6746,754"
"32,000","306,925","6749,178"
"32,500","306,913","6752,853"
"33,000","306,898","6757,322"
"33,500","306,881","6762,281"
"34,000","306,872","6764,798"
"34,500","306,862","6767,900"
"35,000","306,848","6771,906"
"35,500","306,824","6779,072"
"36,000","306,779","6792,181"
"36,500","306,719","6809,969"
"37,000","306,642","6832,848"
"37,500","306,558","6858,127"
"38,000","306,461","6887,282"
"38,500","306,372","6913,961"
"39,000","306,290","6938,671"
"39,500","306,187","6969,953"
"40,000","306,099","6997,041"
"40,500","306,060","7008,996"
"41,000","305,989","7030,807"
"41,500","305,886","7062,434"
"42,000","305,810","7086,078"
"42,500","305,727","7112,035"
"43,000","305,617","7146,295"
"43,500","305,495","7184,840"
"44,000","305,372","7223,830"
"44,500","305,245","7264,161"
"45,000","305,121","7303,899"
"45,500","304,996","7344,292"
"46,000","304,878","7382,515"
"46,500","304,762","7420,454"
"47,000","304,647","7458,186"
"47,500","304,537","7494,470"
"48,000","304,428","7530,853"
"48,500","304,322","7566,083"
"49,000","304,217","7601,612"
"49,500","304,112","7636,915"
"50,000","304,007","7672,479"
"50,500","303,907","7706,827"
"51,000","303,811","7739,496"
"51,500","303,722","7770,373"
"52,000","303,633","7801,126"
"52,500","303,544","7832,047"
"53,000","303,460","7861,423"
"53,500","303,379","7889,879"
"54,000","303,297","7918,494"
"54,500","303,215","7947,494"
"55,000","303,129","7978,167"
"55,500","303,043","8009,021"
"56,000","302,951","8041,792"
"56,500","302,859","8074,976"
"57,000","302,767","8108,437"
"57,500","302,679","8140,304"
"58,000","302,592","8171,877"
"58,500","302,504","8204,144"
"59,000","302,417","8236,179"
"59,500","302,331","8267,991"
"60,000","302,247","8299,294"
